"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Injury Mechanism & All Other Leading Causes"	"Injury Mechanism & All Other Leading Causes Code"	Deaths	Population	Crude Rate
	"30-34 years"	"30-34"	"Non-Injury: Viral hepatitis"	"GR113-015"	539	240147817	0.2
	"30-34 years"	"30-34"	"Non-Injury: Human immunodeficiency virus (HIV) disease"	"GR113-016"	12787	240147817	5.3
	"30-34 years"	"30-34"	"Non-Injury: Malaria"	"GR113-017"	6	240147817	Unreliable
	"30-34 years"	"30-34"	"Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae"	"GR113-018"	1007	240147817	0.4
	"30-34 years"	"30-34"	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	28351	240147817	11.8
	"30-34 years"	"30-34"	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	1107	240147817	0.5
	"30-34 years"	"30-34"	"Non-Injury: Anemias"	"GR113-045"	981	240147817	0.4
	"30-34 years"	"30-34"	"Non-Injury: Diabetes mellitus"	"GR113-046"	4774	240147817	2.0
	"30-34 years"	"30-34"	"Non-Injury: Nutritional Deficiencies"	"GR113 048-049"	103	240147817	0.0
	"30-34 years"	"30-34"	"Non-Injury: Meningitis"	"GR113-050"	259	240147817	0.1
	"30-34 years"	"30-34"	"Non-Injury: Parkinsons disease"	"GR113-051"	19	240147817	Unreliable
	"30-34 years"	"30-34"	"Non-Injury: Alzheimers disease"	"GR113-052"	10	240147817	Unreliable
	"30-34 years"	"30-34"	"Non-Injury: Diseases of Heart"	"GR113 055-068"	24622	240147817	10.3
	"30-34 years"	"30-34"	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	798	240147817	0.3
	"30-34 years"	"30-34"	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	4358	240147817	1.8
	"30-34 years"	"30-34"	"Non-Injury: Atherosclerosis"	"GR113-071"	54	240147817	0.0
	"30-34 years"	"30-34"	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	1136	240147817	0.5
	"30-34 years"	"30-34"	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	969	240147817	0.4
	"30-34 years"	"30-34"	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	2661	240147817	1.1
	"30-34 years"	"30-34"	"Non-Injury: Other acute lower respiratory infections"	"GR113 079"	30	240147817	0.0
	"30-34 years"	"30-34"	"Non-Injury: Chronic lower respiratory diseases"	"GR113 082"	1922	240147817	0.8
	"30-34 years"	"30-34"	"Non-Injury: Pneumoconioses and chemical effects"	"GR113-087"	9	240147817	Unreliable
	"30-34 years"	"30-34"	"Non-Injury: Pneumonitis due to solids and liquids"	"GR113-088"	514	240147817	0.2
	"30-34 years"	"30-34"	"Non-Injury: Other diseases of respiratory system"	"GR113-089"	1514	240147817	0.6
	"30-34 years"	"30-34"	"Non-Injury: Peptic ulcer"	"GR113-090"	152	240147817	0.1
	"30-34 years"	"30-34"	"Non-Injury: Diseases of appendix"	"GR113-091"	74	240147817	0.0
	"30-34 years"	"30-34"	"Non-Injury: Hernia"	"GR113-092"	65	240147817	0.0
	"30-34 years"	"30-34"	"Non-Injury: Chronic liver disease and cirrhosis"	"GR113 093"	3564	240147817	1.5
	"30-34 years"	"30-34"	"Non-Injury: Cholelithiasis and other disorders of gallbladder"	"GR113-096"	147	240147817	0.1
	"30-34 years"	"30-34"	"Non-Injury: Nephritis, nephrotic syndrome and nephrosis"	"GR113 097"	1942	240147817	0.8
	"30-34 years"	"30-34"	"Non-Injury: Infections of kidney"	"GR113-102"	70	240147817	0.0
	"30-34 years"	"30-34"	"Non-Injury: Hyperplasia of prostate"	"GR113-103"	0	240147817	Unreliable
	"30-34 years"	"30-34"	"Non-Injury: Inflammatory diseases of female pelvic organs"	"GR113-104"	31	240147817	0.0
	"30-34 years"	"30-34"	"Non-Injury: Pregnancy with abortive outcome"	"GR113-106"	81	240147817	0.0
	"30-34 years"	"30-34"	"Non-Injury: Other complications of pregnancy, childbirth and the puerperium"	"GR113-107"	1589	240147817	0.7
	"30-34 years"	"30-34"	"Non-Injury: Certain conditions originating in the perinatal period"	"GR113-108"	31	240147817	0.0
	"30-34 years"	"30-34"	"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities"	"GR113-109"	2608	240147817	1.1
	"30-34 years"	"30-34"	"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"GR113-110"	7736	240147817	3.2
	"30-34 years"	"30-34"	"Non-Injury: All other diseases (Residual)"	"GR113-111"	21726	240147817	9.0
	"30-34 years"	"30-34"	"Non-Injury: Complications of medical and surgical care"	"GR113-135"	509	240147817	0.2
"Total"	"30-34 years"	"30-34"			269576	240147817	112.3
	"35-39 years"	"35-39"	"Cut/Pierce"	"GRINJ-001"	3333	255923835	1.3
	"35-39 years"	"35-39"	"Drowning"	"GRINJ-002"	3309	255923835	1.3
	"35-39 years"	"35-39"	"Fall"	"GRINJ-003"	3783	255923835	1.5
	"35-39 years"	"35-39"	"Fire/Flame"	"GRINJ-004"	2154	255923835	0.8
	"35-39 years"	"35-39"	"Hot object/Substance"	"GRINJ-005"	34	255923835	0.0
	"35-39 years"	"35-39"	"Firearm"	"GRINJ-006"	30730	255923835	12.0
	"35-39 years"	"35-39"	"Machinery"	"GRINJ-007"	588	255923835	0.2
	"35-39 years"	"35-39"	"Motor Vehicle Traffic"	"GRINJ-008"	36293	255923835	14.2
	"35-39 years"	"35-39"	"Other Pedal cyclist"	"GRINJ-009"	148	255923835	0.1
	"35-39 years"	"35-39"	"Other Pedestrian"	"GRINJ-010"	1057	255923835	0.4
	"35-39 years"	"35-39"	"Other land transport"	"GRINJ-011"	1522	255923835	0.6
	"35-39 years"	"35-39"	"Other transport"	"GRINJ-012"	1821	255923835	0.7
	"35-39 years"	"35-39"	"Natural/Environmental"	"GRINJ-013"	902	255923835	0.4
	"35-39 years"	"35-39"	"Overexertion"	"GRINJ-014"	6	255923835	Unreliable
	"35-39 years"	"35-39"	"Poisoning"	"GRINJ-015"	47172	255923835	18.4
	"35-39 years"	"35-39"	"Struck by or against"	"GRINJ-016"	1034	255923835	0.4
	"35-39 years"	"35-39"	"Suffocation"	"GRINJ-017"	12278	255923835	4.8
	"35-39 years"	"35-39"	"Other specified, classifiable Injury"	"GRINJ-018"	2246	255923835	0.9
	"35-39 years"	"35-39"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	1657	255923835	0.6
	"35-39 years"	"35-39"	"Unspecified Injury"	"GRINJ-020"	3389	255923835	1.3
	"35-39 years"	"35-39"	"Non-Injury: Intestinal infections"	"GR113 001-003"	128	255923835	0.1
	"35-39 years"	"35-39"	"Non-Injury: Tuberculosis"	"GR113 005-006"	182	255923835	0.1
	"35-39 years"	"35-39"	"Non-Injury: Whooping cough"	"GR113-007"	0	255923835	Unreliable
	"35-39 years"	"35-39"	"Non-Injury: Scarlet fever and erysipelas"	"GR113-008"	0	255923835	Unreliable
	"35-39 years"	"35-39"	"Non-Injury: Meningococcal infection"	"GR113-009"	71	255923835	0.0
	"35-39 years"	"35-39"	"Non-Injury: Septicemia"	"GR113-010"	3790	255923835	1.5
	"35-39 years"	"35-39"	"Non-Injury: Syphilis"	"GR113-011"	15	255923835	Unreliable
	"35-39 years"	"35-39"	"Non-Injury: Acute poliomyelitis"	"GR113-012"	0	255923835	Unreliable
	"35-39 years"	"35-39"	"Non-Injury: Arthropod-borne viral encephalitis"	"GR113-013"	1	255923835	Unreliable
	"35-39 years"	"35-39"	"Non-Injury: Measles"	"GR113-014"	1	255923835	Unreliable
	"35-39 years"	"35-39"	"Non-Injury: Viral hepatitis"	"GR113-015"	1778	255923835	0.7
	"35-39 years"	"35-39"	"Non-Injury: Human immunodeficiency virus (HIV) disease"	"GR113-016"	23054	255923835	9.0
	"35-39 years"	"35-39"	"Non-Injury: Malaria"	"GR113-017"	4	255923835	Unreliable
	"35-39 years"	"35-39"	"Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae"	"GR113-018"	1651	255923835	0.6
	"35-39 years"	"35-39"	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	56799	255923835	22.2
	"35-39 years"	"35-39"	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	1627	255923835	0.6
	"35-39 years"	"35-39"	"Non-Injury: Anemias"	"GR113-045"	1038	255923835	0.4
	"35-39 years"	"35-39"	"Non-Injury: Diabetes mellitus"	"GR113-046"	8505	255923835	3.3
	"35-39 years"	"35-39"	"Non-Injury: Nutritional Deficiencies"	"GR113 048-049"	211	255923835	0.1
	"35-39 years"	"35-39"	"Non-Injury: Meningitis"	"GR113-050"	345	255923835	0.1
	"35-39 years"	"35-39"	"Non-Injury: Parkinsons disease"	"GR113-051"	41	255923835	0.0
	"35-39 years"	"35-39"	"Non-Injury: Alzheimers disease"	"GR113-052"	20	255923835	0.0
	"35-39 years"	"35-39"	"Non-Injury: Diseases of Heart"	"GR113 055-068"	49390	255923835	19.3
	"35-39 years"	"35-39"	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	1463	255923835	0.6
	"35-39 years"	"35-39"	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	9023	255923835	3.5
	"35-39 years"	"35-39"	"Non-Injury: Atherosclerosis"	"GR113-071"	125	255923835	0.0
	"35-39 years"	"35-39"	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	2015	255923835	0.8
	"35-39 years"	"35-39"	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	1467	255923835	0.6
	"35-39 years"	"35-39"	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	4331	255923835	1.7
	"35-39 years"	"35-39"	"Non-Injury: Other acute lower respiratory infections"	"GR113 079"	47	255923835	0.0
	"35-39 years"	"35-39"	"Non-Injury: Chronic lower respiratory diseases"	"GR113 082"	3345	255923835	1.3
	"35-39 years"	"35-39"	"Non-Injury: Pneumoconioses and chemical effects"	"GR113-087"	18	255923835	Unreliable
	"35-39 years"	"35-39"	"Non-Injury: Pneumonitis due to solids and liquids"	"GR113-088"	726	255923835	0.3
	"35-39 years"	"35-39"	"Non-Injury: Other diseases of respiratory system"	"GR113-089"	2345	255923835	0.9
	"35-39 years"	"35-39"	"Non-Injury: Peptic ulcer"	"GR113-090"	382	255923835	0.1
	"35-39 years"	"35-39"	"Non-Injury: Diseases of appendix"	"GR113-091"	114	255923835	0.0
	"35-39 years"	"35-39"	"Non-Injury: Hernia"	"GR113-092"	151	255923835	0.1
	"35-39 years"	"35-39"	"Non-Injury: Chronic liver disease and cirrhosis"	"GR113 093"	10311	255923835	4.0
	"35-39 years"	"35-39"	"Non-Injury: Cholelithiasis and other disorders of gallbladder"	"GR113-096"	236	255923835	0.1
	"35-39 years"	"35-39"	"Non-Injury: Nephritis, nephrotic syndrome and nephrosis"	"GR113 097"	3370	255923835	1.3
	"35-39 years"	"35-39"	"Non-Injury: Infections of kidney"	"GR113-102"	129	255923835	0.1
	"35-39 years"	"35-39"	"Non-Injury: Hyperplasia of prostate"	"GR113-103"	2	255923835	Unreliable
	"35-39 years"	"35-39"	"Non-Injury: Inflammatory diseases of female pelvic organs"	"GR113-104"	57	255923835	0.0
	"35-39 years"	"35-39"	"Non-Injury: Pregnancy with abortive outcome"	"GR113-106"	79	255923835	0.0
	"35-39 years"	"35-39"	"Non-Injury: Other complications of pregnancy, childbirth and the puerperium"	"GR113-107"	1307	255923835	0.5
	"35-39 years"	"35-39"	"Non-Injury: Certain conditions originating in the perinatal period"	"GR113-108"	31	255923835	0.0
	"35-39 years"	"35-39"	"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities"	"GR113-109"	2875	255923835	1.1
	"35-39 years"	"35-39"	"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"GR113-110"	10664	255923835	4.2
	"35-39 years"	"35-39"	"Non-Injury: All other diseases (Residual)"	"GR113-111"	34946	255923835	13.7
	"35-39 years"	"35-39"	"Non-Injury: Complications of medical and surgical care"	"GR113-135"	705	255923835	0.3
"Total"	"35-39 years"	"35-39"			392371	255923835	153.3
	"40-44 years"	"40-44"	"Cut/Pierce"	"GRINJ-001"	3472	266244723	1.3
	"40-44 years"	"40-44"	"Drowning"	"GRINJ-002"	3685	266244723	1.4
	"40-44 years"	"40-44"	"Fall"	"GRINJ-003"	5439	266244723	2.0
	"40-44 years"	"40-44"	"Fire/Flame"	"GRINJ-004"	2746	266244723	1.0
	"40-44 years"	"40-44"	"Hot object/Substance"	"GRINJ-005"	54	266244723	0.0
	"40-44 years"	"40-44"	"Firearm"	"GRINJ-006"	30603	266244723	11.5
	"40-44 years"	"40-44"	"Machinery"	"GRINJ-007"	726	266244723	0.3
	"40-44 years"	"40-44"	"Motor Vehicle Traffic"	"GRINJ-008"	37952	266244723	14.3
	"40-44 years"	"40-44"	"Other Pedal cyclist"	"GRINJ-009"	236	266244723	0.1
	"40-44 years"	"40-44"	"Other Pedestrian"	"GRINJ-010"	1207	266244723	0.5
	"40-44 years"	"40-44"	"Other land transport"	"GRINJ-011"	1608	266244723	0.6
	"40-44 years"	"40-44"	"Other transport"	"GRINJ-012"	1891	266244723	0.7
	"40-44 years"	"40-44"	"Natural/Environmental"	"GRINJ-013"	1306	266244723	0.5
	"40-44 years"	"40-44"	"Overexertion"	"GRINJ-014"	6	266244723	Unreliable
	"40-44 years"	"40-44"	"Poisoning"	"GRINJ-015"	59867	266244723	22.5
	"40-44 years"	"40-44"	"Struck by or against"	"GRINJ-016"	1299	266244723	0.5
	"40-44 years"	"40-44"	"Suffocation"	"GRINJ-017"	12935	266244723	4.9
	"40-44 years"	"40-44"	"Other specified, classifiable Injury"	"GRINJ-018"	2500	266244723	0.9
	"40-44 years"	"40-44"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	2096	266244723	0.8
	"40-44 years"	"40-44"	"Unspecified Injury"	"GRINJ-020"	4188	266244723	1.6
	"40-44 years"	"40-44"	"Non-Injury: Intestinal infections"	"GR113 001-003"	256	266244723	0.1
	"40-44 years"	"40-44"	"Non-Injury: Tuberculosis"	"GR113 005-006"	270	266244723	0.1
	"40-44 years"	"40-44"	"Non-Injury: Whooping cough"	"GR113-007"	1	266244723	Unreliable
	"40-44 years"	"40-44"	"Non-Injury: Scarlet fever and erysipelas"	"GR113-008"	0	266244723	Unreliable
	"40-44 years"	"40-44"	"Non-Injury: Meningococcal infection"	"GR113-009"	70	266244723	0.0
	"40-44 years"	"40-44"	"Non-Injury: Septicemia"	"GR113-010"	6544	266244723	2.5
	"40-44 years"	"40-44"	"Non-Injury: Syphilis"	"GR113-011"	17	266244723	Unreliable
	"40-44 years"	"40-44"	"Non-Injury: Acute poliomyelitis"	"GR113-012"	0	266244723	Unreliable
	"40-44 years"	"40-44"	"Non-Injury: Arthropod-borne viral encephalitis"	"GR113-013"	1	266244723	Unreliable
	"40-44 years"	"40-44"	"Non-Injury: Measles"	"GR113-014"	0	266244723	Unreliable
	"40-44 years"	"40-44"	"Non-Injury: Viral hepatitis"	"GR113-015"	5234	266244723	2.0
	"40-44 years"	"40-44"	"Non-Injury: Human immunodeficiency virus (HIV) disease"	"GR113-016"	29943	266244723	11.2
	"40-44 years"	"40-44"	"Non-Injury: Malaria"	"GR113-017"	9	266244723	Unreliable
	"40-44 years"	"40-44"	"Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae"	"GR113-018"	2507	266244723	0.9
	"40-44 years"	"40-44"	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	118137	266244723	44.4
	"40-44 years"	"40-44"	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	2374	266244723	0.9
	"40-44 years"	"40-44"	"Non-Injury: Anemias"	"GR113-045"	1281	266244723	0.5
	"40-44 years"	"40-44"	"Non-Injury: Diabetes mellitus"	"GR113-046"	15198	266244723	5.7
	"40-44 years"	"40-44"	"Non-Injury: Nutritional Deficiencies"	"GR113 048-049"	333	266244723	0.1
	"40-44 years"	"40-44"	"Non-Injury: Meningitis"	"GR113-050"	453	266244723	0.2
	"40-44 years"	"40-44"	"Non-Injury: Parkinsons disease"	"GR113-051"	73	266244723	0.0
	"40-44 years"	"40-44"	"Non-Injury: Alzheimers disease"	"GR113-052"	79	266244723	0.0
	"40-44 years"	"40-44"	"Non-Injury: Diseases of Heart"	"GR113 055-068"	100807	266244723	37.9
	"40-44 years"	"40-44"	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	3045	266244723	1.1
	"40-44 years"	"40-44"	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	18356	266244723	6.9
	"40-44 years"	"40-44"	"Non-Injury: Atherosclerosis"	"GR113-071"	302	266244723	0.1
	"40-44 years"	"40-44"	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	3342	266244723	1.3
	"40-44 years"	"40-44"	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	2301	266244723	0.9
	"40-44 years"	"40-44"	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	7163	266244723	2.7
	"40-44 years"	"40-44"	"Non-Injury: Other acute lower respiratory infections"	"GR113 079"	71	266244723	0.0
	"40-44 years"	"40-44"	"Non-Injury: Chronic lower respiratory diseases"	"GR113 082"	7080	266244723	2.7
	"40-44 years"	"40-44"	"Non-Injury: Pneumoconioses and chemical effects"	"GR113-087"	32	266244723	0.0
	"40-44 years"	"40-44"	"Non-Injury: Pneumonitis due to solids and liquids"	"GR113-088"	1261	266244723	0.5
	"40-44 years"	"40-44"	"Non-Injury: Other diseases of respiratory system"	"GR113-089"	3979	266244723	1.5
	"40-44 years"	"40-44"	"Non-Injury: Peptic ulcer"	"GR113-090"	737	266244723	0.3
	"40-44 years"	"40-44"	"Non-Injury: Diseases of appendix"	"GR113-091"	151	266244723	0.1
	"40-44 years"	"40-44"	"Non-Injury: Hernia"	"GR113-092"	269	266244723	0.1
	"40-44 years"	"40-44"	"Non-Injury: Chronic liver disease and cirrhosis"	"GR113 093"	23946	266244723	9.0
	"40-44 years"	"40-44"	"Non-Injury: Cholelithiasis and other disorders of gallbladder"	"GR113-096"	367	266244723	0.1
	"40-44 years"	"40-44"	"Non-Injury: Nephritis, nephrotic syndrome and nephrosis"	"GR113 097"	5807	266244723	2.2
	"40-44 years"	"40-44"	"Non-Injury: Infections of kidney"	"GR113-102"	214	266244723	0.1
	"40-44 years"	"40-44"	"Non-Injury: Hyperplasia of prostate"	"GR113-103"	2	266244723	Unreliable
	"40-44 years"	"40-44"	"Non-Injury: Inflammatory diseases of female pelvic organs"	"GR113-104"	62	266244723	0.0
	"40-44 years"	"40-44"	"Non-Injury: Pregnancy with abortive outcome"	"GR113-106"	21	266244723	0.0
	"40-44 years"	"40-44"	"Non-Injury: Other complications of pregnancy, childbirth and the puerperium"	"GR113-107"	641	266244723	0.2
	"40-44 years"	"40-44"	"Non-Injury: Certain conditions originating in the perinatal period"	"GR113-108"	35	266244723	0.0
	"40-44 years"	"40-44"	"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities"	"GR113-109"	3320	266244723	1.2
	"40-44 years"	"40-44"	"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"GR113-110"	14190	266244723	5.3
	"40-44 years"	"40-44"	"Non-Injury: All other diseases (Residual)"	"GR113-111"	57684	266244723	21.7
	"40-44 years"	"40-44"	"Non-Injury: Complications of medical and surgical care"	"GR113-135"	1041	266244723	0.4
"Total"	"40-44 years"	"40-44"			612822	266244723	230.2
	"45-49 years"	"45-49"	"Cut/Pierce"	"GRINJ-001"	3327	261809847	1.3
	"45-49 years"	"45-49"	"Drowning"	"GRINJ-002"	3738	261809847	1.4
	"45-49 years"	"45-49"	"Fall"	"GRINJ-003"	7277	261809847	2.8
	"45-49 years"	"45-49"	"Fire/Flame"	"GRINJ-004"	3287	261809847	1.3
	"45-49 years"	"45-49"	"Hot object/Substance"	"GRINJ-005"	59	261809847	0.0
	"45-49 years"	"45-49"	"Firearm"	"GRINJ-006"	29491	261809847	11.3
	"45-49 years"	"45-49"	"Machinery"	"GRINJ-007"	768	261809847	0.3
	"45-49 years"	"45-49"	"Motor Vehicle Traffic"	"GRINJ-008"	36748	261809847	14.0
	"45-49 years"	"45-49"	"Other Pedal cyclist"	"GRINJ-009"	295	261809847	0.1
	"45-49 years"	"45-49"	"Other Pedestrian"	"GRINJ-010"	1229	261809847	0.5
	"45-49 years"	"45-49"	"Other land transport"	"GRINJ-011"	1535	261809847	0.6
	"45-49 years"	"45-49"	"Other transport"	"GRINJ-012"	1866	261809847	0.7
	"45-49 years"	"45-49"	"Natural/Environmental"	"GRINJ-013"	1551	261809847	0.6
	"45-49 years"	"45-49"	"Overexertion"	"GRINJ-014"	16	261809847	Unreliable
	"45-49 years"	"45-49"	"Poisoning"	"GRINJ-015"	63033	261809847	24.1
	"45-49 years"	"45-49"	"Struck by or against"	"GRINJ-016"	1403	261809847	0.5
	"45-49 years"	"45-49"	"Suffocation"	"GRINJ-017"	12229	261809847	4.7
	"45-49 years"	"45-49"	"Other specified, classifiable Injury"	"GRINJ-018"	2684	261809847	1.0
	"45-49 years"	"45-49"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	2351	261809847	0.9
	"45-49 years"	"45-49"	"Unspecified Injury"	"GRINJ-020"	4644	261809847	1.8
	"45-49 years"	"45-49"	"Non-Injury: Intestinal infections"	"GR113 001-003"	475	261809847	0.2
	"45-49 years"	"45-49"	"Non-Injury: Tuberculosis"	"GR113 005-006"	448	261809847	0.2
	"45-49 years"	"45-49"	"Non-Injury: Whooping cough"	"GR113-007"	1	261809847	Unreliable
	"45-49 years"	"45-49"	"Non-Injury: Scarlet fever and erysipelas"	"GR113-008"	2	261809847	Unreliable
	"45-49 years"	"45-49"	"Non-Injury: Meningococcal infection"	"GR113-009"	86	261809847	0.0
	"45-49 years"	"45-49"	"Non-Injury: Septicemia"	"GR113-010"	10644	261809847	4.1
	"45-49 years"	"45-49"	"Non-Injury: Syphilis"	"GR113-011"	20	261809847	0.0
	"45-49 years"	"45-49"	"Non-Injury: Acute poliomyelitis"	"GR113-012"	0	261809847	Unreliable
	"45-49 years"	"45-49"	"Non-Injury: Arthropod-borne viral encephalitis"	"GR113-013"	1	261809847	Unreliable
	"45-49 years"	"45-49"	"Non-Injury: Measles"	"GR113-014"	2	261809847	Unreliable
	"45-49 years"	"45-49"	"Non-Injury: Viral hepatitis"	"GR113-015"	11895	261809847	4.5
	"45-49 years"	"45-49"	"Non-Injury: Human immunodeficiency virus (HIV) disease"	"GR113-016"	28091	261809847	10.7
	"45-49 years"	"45-49"	"Non-Injury: Malaria"	"GR113-017"	8	261809847	Unreliable
	"45-49 years"	"45-49"	"Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae"	"GR113-018"	4008	261809847	1.5
	"45-49 years"	"45-49"	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	226217	261809847	86.4
	"45-49 years"	"45-49"	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	3622	261809847	1.4
	"45-49 years"	"45-49"	"Non-Injury: Anemias"	"GR113-045"	1484	261809847	0.6
	"45-49 years"	"45-49"	"Non-Injury: Diabetes mellitus"	"GR113-046"	25617	261809847	9.8
	"45-49 years"	"45-49"	"Non-Injury: Nutritional Deficiencies"	"GR113 048-049"	511	261809847	0.2
	"45-49 years"	"45-49"	"Non-Injury: Meningitis"	"GR113-050"	654	261809847	0.2
	"45-49 years"	"45-49"	"Non-Injury: Parkinsons disease"	"GR113-051"	201	261809847	0.1
	"45-49 years"	"45-49"	"Non-Injury: Alzheimers disease"	"GR113-052"	301	261809847	0.1
	"45-49 years"	"45-49"	"Non-Injury: Diseases of Heart"	"GR113 055-068"	177494	261809847	67.8
	"45-49 years"	"45-49"	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	5325	261809847	2.0
	"45-49 years"	"45-49"	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	30485	261809847	11.6
	"45-49 years"	"45-49"	"Non-Injury: Atherosclerosis"	"GR113-071"	674	261809847	0.3
	"45-49 years"	"45-49"	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	5378	261809847	2.1
	"45-49 years"	"45-49"	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	3151	261809847	1.2
	"45-49 years"	"45-49"	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	10486	261809847	4.0
	"45-49 years"	"45-49"	"Non-Injury: Other acute lower respiratory infections"	"GR113 079"	89	261809847	0.0
	"45-49 years"	"45-49"	"Non-Injury: Chronic lower respiratory diseases"	"GR113 082"	15534	261809847	5.9
	"45-49 years"	"45-49"	"Non-Injury: Pneumoconioses and chemical effects"	"GR113-087"	63	261809847	0.0
	"45-49 years"	"45-49"	"Non-Injury: Pneumonitis due to solids and liquids"	"GR113-088"	2019	261809847	0.8
	"45-49 years"	"45-49"	"Non-Injury: Other diseases of respiratory system"	"GR113-089"	6614	261809847	2.5
	"45-49 years"	"45-49"	"Non-Injury: Peptic ulcer"	"GR113-090"	1397	261809847	0.5
	"45-49 years"	"45-49"	"Non-Injury: Diseases of appendix"	"GR113-091"	217	261809847	0.1
	"45-49 years"	"45-49"	"Non-Injury: Hernia"	"GR113-092"	415	261809847	0.2
	"45-49 years"	"45-49"	"Non-Injury: Chronic liver disease and cirrhosis"	"GR113 093"	41188	261809847	15.7
	"45-49 years"	"45-49"	"Non-Injury: Cholelithiasis and other disorders of gallbladder"	"GR113-096"	594	261809847	0.2
	"45-49 years"	"45-49"	"Non-Injury: Nephritis, nephrotic syndrome and nephrosis"	"GR113 097"	9655	261809847	3.7
	"45-49 years"	"45-49"	"Non-Injury: Infections of kidney"	"GR113-102"	287	261809847	0.1
	"45-49 years"	"45-49"	"Non-Injury: Hyperplasia of prostate"	"GR113-103"	5	261809847	Unreliable
	"45-49 years"	"45-49"	"Non-Injury: Inflammatory diseases of female pelvic organs"	"GR113-104"	75	261809847	0.0
	"45-49 years"	"45-49"	"Non-Injury: Pregnancy with abortive outcome"	"GR113-106"	8	261809847	Unreliable
	"45-49 years"	"45-49"	"Non-Injury: Other complications of pregnancy, childbirth and the puerperium"	"GR113-107"	296	261809847	0.1
	"45-49 years"	"45-49"	"Non-Injury: Certain conditions originating in the perinatal period"	"GR113-108"	25	261809847	0.0
	"45-49 years"	"45-49"	"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities"	"GR113-109"	3883	261809847	1.5
	"45-49 years"	"45-49"	"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"GR113-110"	16503	261809847	6.3
	"45-49 years"	"45-49"	"Non-Injury: All other diseases (Residual)"	"GR113-111"	83491	261809847	31.9
	"45-49 years"	"45-49"	"Non-Injury: Complications of medical and surgical care"	"GR113-135"	1413	261809847	0.5
"Total"	"45-49 years"	"45-49"			908583	261809847	347.0
	"50-54 years"	"50-54"	"Cut/Pierce"	"GRINJ-001"	2584	238330523	1.1
	"50-54 years"	"50-54"	"Drowning"	"GRINJ-002"	3190	238330523	1.3
	"50-54 years"	"50-54"	"Fall"	"GRINJ-003"	8243	238330523	3.5
	"50-54 years"	"50-54"	"Fire/Flame"	"GRINJ-004"	3204	238330523	1.3
	"50-54 years"	"50-54"	"Hot object/Substance"	"GRINJ-005"	67	238330523	0.0
	"50-54 years"	"50-54"	"Firearm"	"GRINJ-006"	25990	238330523	10.9
